barcode,product_name,editeur,supplier_name,total_qty_invoiced,list_price
9782813208224,HUILES ESSENTIELLES ANTIVIRALES - LA SOLUTION NATURELLE POUR LUTTER CONTRE LES INFECTIONS,TREDANIEL,Interforum ,3.00,21.89
9782813208415,LA PHYSIQUE DE LA CONSCIENCE,TREDANIEL,Interforum ,1.00,25.19
9782813208491,"BELJANSKI - CANCER, SANTE ET PREVENTION",TREDANIEL,Interforum ,1.00,14.3
9782813208965,QUAND LE CERVEAU DERAILLE,TREDANIEL,Interforum ,1.00,19.8
9782813209177,LA REVELATION DE SAMSARA,TREDANIEL,Interforum ,1.00,18.7
9782813209351,LES BONS GESTES DU SHIATSU + DVD,TREDANIEL,Interforum ,2.00,30.80
9782813209399,"HO'OPONOPONO NOUVEAU - ALOHA, LA HUNA, LE PONO, LE HA, LE MANA",TREDANIEL,Interforum ,1.00,19.69
9782813209450,L'ALCHIMIE DE L'ENERGIE SEXUELLE - COMMENT SE RELIER A L'UNIVERS DE L'INTERIEUR,TREDANIEL,Interforum ,1.00,25.30
9782813209528,UN SOLEIL TROP TARD - QUAND L'AU-DELA S'IMPOSE A NOUS,TREDANIEL,Interforum ,1.00,18.7
9782813209818,L'ORACLE DU PEUPLE ANIMAL,TREDANIEL,Interforum ,2.00,27.39
9782813213716,PRENEZ EN MAIN VOTRE SANTE - T01 - PRENEZ EN MAIN VOTRE SANTE - TOME 1 - PLUS DE CENT MALADIES COURA,TREDANIEL,Interforum ,7.00,28.6
9782813213877,LA CONSCIENCE INTUITIVE EXTRANEURONALE - UN CONCEPT REVOLUTIONNAIRE SUR L'APRES-VIE ENFIN RECONNU PA,TREDANIEL,Interforum ,1.00,18.59
9782813213884,APRES L'ENFER - SE RECONSTRUIRE ET TROUVER L'AMOUR DE SOI,TREDANIEL,Interforum ,1.00,23.1
9782813214249,LA METHODE DU MIROIR - 21 JOURS POUR AMPLIFIER LES EFFETS DE LA PENSEE POSITIVE,TREDANIEL,Interforum ,2.00,16.39
9782813214270,LA CONNEXION CERVEAU INTESTIN - AGIR AVEC EFFICACITE SUR CETTE RELATION ESSENTIELLE QUI GOUVERNE NOT,TREDANIEL,Interforum ,1.00,21.89
9782813214300,CANCER - HUIT ERREURS A EVITER POUR OPTIMISER VOTRE TRAITEMENT ET MULTIPLIER VOS CHANCES,TREDANIEL,Interforum ,1.00,18.7
9782813214515,LES 3 SECRETS DE L'UNIVERS - DES REVELATIONS QUI VONT CHANGER VOTRE VIE,TREDANIEL,Interforum ,1.00,16.39
9782813214546,TRAITER AUTREMENT LA MALADIE DE LYME - TRAITEMENTS NATURELS ET SOLUTIONS AU QUOTIDIEN,TREDANIEL,Interforum ,2.00,25.19
9782813214577,LES SECRETS DE L'ART PERDU DE LA PRIERE,TREDANIEL,Interforum ,1.00,19.69
9782813214621,S'OFFRIR LE BONHEUR D'EXISTER - LAISSEZ LE OIVIN OUVRIR LA VOIE !,TREDANIEL,Interforum ,1.00,21.89
9782813215239,POURQUOI TROP PENSER REND MANIPULABLE - PROTEGEZ VOTRE MENTAL DE L'EMPRISE,TREDANIEL,Interforum ,13.00,20.90
9782813215260,EXTRAORDINAIRES CONTACTS AVEC L'AU-DELA - LES DECOUVERTES SCIENTIFIQUES IRREFUTABLES SUR LA VIE APRE,TREDANIEL,Interforum ,1.00,25.19
9782813215673,LE PIC DE L'ESPRIT - UNE RANDONNEE INITIATIQUE DANS LE TERRITOIRE DE LA PENSEE,TREDANIEL,Interforum ,4.00,25.30
9782813215697,"SOIGNER L'ESPRIT, GUERIR LE CORPS",TREDANIEL,Interforum ,2.00,25.19
9782813215703,430 PIERRES AUX VERTUS THERAPEUTIQUES,TREDANIEL,Interforum ,1.00,16.39
9782813215772,DEVENIR SUPER-CONSCIENT - TRANSFORMER SA VIE ET ACCEDER A L'EXTRA-ORDINAIRE,TREDANIEL,Interforum ,20.00,26.29
9782813216281,"ETRE OU NE PAS ETRE, VOILA LA MISSION ! - QUE SOMMES-NOUS VENUS ACCOMPLIR SUR CETTE TERRE ?",TREDANIEL,Interforum ,2.00,25.19
9782813216458,AVOIR LE COURAGE DE NE PAS ETRE AIME,TREDANIEL,Interforum ,67.00,21.89
9782813216717,COFFRET L'UNIVERS VEILLE SUR VOUS,TREDANIEL,Interforum ,1.00,25.19
9782813216762,MEDICAL MEDIUM - LES ALIMENTS QUI VONT TRANSFORMER VOTRE VIE - COMMENT EVITER OU SOIGNER LES MALADIE,TREDANIEL,Interforum ,6.00,27.39
9782813216885,L'EXORCISME - GUERISON DES MALADIES DE L'AME,TREDANIEL,Interforum ,1.00,21.89
9782813217448,21 JOURS POUR MAITRISER LES AFFIRMATIONS POSITIVES,TREDANIEL,Interforum ,2.00,14.19
9782813217479,"RECETTES GOURMANDES POUR PERSONNES SENSIBLES - SANS GLUTEN, SANS OEUFS, SANS LAIT, 100% VEGETALES",TREDANIEL,Interforum ,1.00,19.80
9782813217561,DECOUVRIR LE SENS CACHE DES MALADIES - POUR OBTENIR UNE GUERISON COMPLETE ET RETROUVER SON CHEMIN DE,TREDANIEL,Interforum ,2.00,10.89
9782813217585,LE LIVRE SECRET DES ESSENIENS,TREDANIEL,Interforum ,4.00,14.19
9782813217707,REFLEXOLOGIE THERAPIE TOTALE,TREDANIEL,Interforum ,18.00,46.20
9782813218018,POUR EN FINIR AVEC LES CRISES D'ANGOISSE,TREDANIEL,Interforum ,2.00,18.7
